celltype,gene,per_exp,avg_exp,scaled_avg_exp
HSC.MPP,SDC1,0.00558865885399464,0.00293332573452016,0.00452043640484838
HSC.MPP,MME,0.0149427261557162,0.00992356940135802,0.0218348955922636
HSC.MPP,CD19,0.0113887090594406,0.00799428291463752,0.0224945205452138
HSC.MPP,CD79A,0.0504564731995402,0.0284744304858557,0.0161713790890679
HSC.MPP,MS4A1,0.00733263750346814,0.0077446014567513,0.0049027508105598
HSC.MPP,KIT,0.265586809179669,0.191081569361569,1
HSC.MPP,CD34,0.444886311088798,0.455142957723145,1
HSC.MPP,CLC,0.00792717567942502,0.00597484080169582,0.0462781107714951
HSC.MPP,GYPA,0.00582647412437739,0.00283872448313418,0.00168719940999518
HSC.MPP,PPBP,0.0127495408844086,0.00818833508435956,0.00278346706412638
HSC.MPP,ITGA2B,0.0438637054261518,0.0286642424168431,0.0260379195057372
HSC.MPP,CD33,0.319200940691514,0.219793675840856,0.638986244130633
HSC.MPP,MPO,0.333734096103793,0.629413497495508,0.317252837462673
HSC.MPP,CTSG,0.263314352151568,0.212283945601935,0.241526392364429
HSC.MPP,AZU1,0.313506586161794,0.370526234478631,0.225507813681632
HSC.MPP,LYZ,0.265679292895929,0.211585646366592,0.0476035926472746
HSC.MPP,S100A8,0.0648310850982309,0.0551862119247799,0.0140718549263715
HSC.MPP,S100A9,0.0850850189591618,0.0686242186781295,0.0162181909608052
HSC.MPP,CD14,0.00543011534040614,0.00327926901443996,0.00410587241875409
HSC.MPP,ITGAM,0.0634834652327287,0.0381566829691809,0.0793194648354062
HSC.MPP,FCGR3A,0.00239136466329321,0.00155748436536329,0.000978280135174865
HSC.MPP,FCER1G,0.218657929157473,0.149621236630412,0.0588489441027534
HSC.MPP,FCER1A,0.0204389012934508,0.0160881287421005,0.0343038047303147
HSC.MPP,CLEC10A,0.00136083182496796,0.00070214520643707,0.0032007220412432
HSC.MPP,IL3RA,0.274808756886734,0.191359419768477,0.207570472163322
HSC.MPP,IRF8,0.0867365138923754,0.0609943340401336,0.0375399069413842
HSC.MPP,CD4,0.0406928351543817,0.0243748612024024,0.0802045046133114
HSC.MPP,IL7R,0.01277596480334,0.011583953090777,0.00851979667195394
HSC.MPP,CD3E,0.0162242862238899,0.00994732953414187,0.00713152393262235
HSC.MPP,CCR7,0.0197122435228369,0.0124076043881955,0.0155350201912723
HSC.MPP,CD8A,0.00335583770428992,0.00244230831653248,0.00291336823524012
HSC.MPP,CCL5,0.118114917623433,0.0876974143673811,0.0317505762601498
HSC.MPP,GNLY,0.0253009023768315,0.0202827169880145,0.00604222526166614
HSC.MPP,KLRB1,0.0110187741944008,0.00754861066302963,0.005530849389192
HSC.MPP,NKG7,0.265520749382341,0.192043215840773,0.063368335379541
HSC.MPP,CXCL12,0.000541690338094043,0.000348520234776478,0.000119268173731895
HSC.MPP,VCAM1,0.000369934865039834,0.000288142988941534,0.000273520950058987
GMP,SDC1,0.00354471290431882,0.00245772686996619,0.00378750913525348
GMP,MME,0.00211118930330753,0.00126614528813831,0.00278590787779981
GMP,CD19,0.00565590220762635,0.0034226311911277,0.00963068838939166
GMP,CD79A,0.0164724893788933,0.010270910007976,0.00583312032917348
GMP,MS4A1,0.00755857898715042,0.00747766195610919,0.00473376369605791
GMP,KIT,0.133004926108374,0.106108078218682,0.555302526419497
GMP,CD34,0.101441342820653,0.0852046486482626,0.187204145867706
GMP,CLC,0.0099564730106602,0.011681791137956,0.0904812767795179
GMP,GYPA,0.0130320327364662,0.00844118324862559,0.00501702771133956
GMP,PPBP,0.00422237860661506,0.00341055825735613,0.00115935370033499
GMP,ITGA2B,0.0129277764745745,0.008728624028045,0.00792887551441209
GMP,CD33,0.241170797821044,0.177566807805011,0.516223895740039
GMP,MPO,0.741731175228712,1.98394915087107,1
GMP,CTSG,0.578961086350249,0.878926495459881,1
GMP,AZU1,0.76935908463002,1.64307492689248,1
GMP,LYZ,0.778585763807439,2.51754863839549,0.566410632809363
GMP,S100A8,0.363046367972476,0.938971647155466,0.239427065890254
GMP,S100A9,0.390126931998853,0.988544355642201,0.233625991550135
GMP,CD14,0.0446216800896604,0.0341155443717226,0.0427150294989017
GMP,ITGAM,0.0962024656605937,0.0754541461180203,0.156852798093796
GMP,FCGR3A,0.00469153178512784,0.00365634463731888,0.00229660689095128
GMP,FCER1G,0.421377746500899,0.491288481078479,0.193233320432519
GMP,FCER1A,0.0504860948210702,0.0479955556325755,0.102338201958463
GMP,CLEC10A,0.0153777986290302,0.0108611397810593,0.0495103992330332
GMP,IL3RA,0.161414757473871,0.116301804589219,0.126154335758533
GMP,IRF8,0.272369484192144,0.268593908828421,0.165310278423682
GMP,CD4,0.0725884223421169,0.0498657608754678,0.16408128911883
GMP,IL7R,0.0209033805092918,0.0158879221263858,0.0116852912814727
GMP,CD3E,0.0132144811947768,0.0092280600187648,0.00661585912577027
GMP,CCR7,0.0498344931842469,0.0437242137801873,0.0547451806707309
GMP,CD8A,0.00529100529100529,0.00413114668960318,0.00492794110356018
GMP,CCL5,0.16798290197305,0.16319411150463,0.0590839207736367
GMP,GNLY,0.0568457267964657,0.0541211788839553,0.0161227095185041
GMP,KLRB1,0.00951338389762035,0.00729843667865865,0.00534754749558305
GMP,NKG7,0.406078140068288,0.411060407841332,0.135637250559986
GMP,CXCL12,0.0010425626189173,0.0007412989649961,0.000253682182330481
GMP,VCAM1,0.000469153178512784,0.000312922782338998,0.000297043273670738
CD14.Mono,SDC1,0.000696904582147628,0.000766679860618931,0.00118150109004953
CD14.Mono,MME,0.00857579805253886,0.0114419676034252,0.0251758372301666
CD14.Mono,CD19,0.00303927831658827,0.00275594409237893,0.00775474694471572
CD14.Mono,CD79A,0.0086338734343845,0.00863621289467568,0.00490473278062826
CD14.Mono,MS4A1,0.00760787502177827,0.00835567446851404,0.00528959301547653
CD14.Mono,KIT,0.0030973536984339,0.00304422777753234,0.0159315615195309
CD14.Mono,CD34,0.00524614282672242,0.00516461367288007,0.0113472340618343
CD14.Mono,CLC,0.00280697678920572,0.00360458783717573,0.0279193238365541
CD14.Mono,GYPA,0.0142284685521807,0.0141116551307691,0.00838727969274487
CD14.Mono,PPBP,0.0128927347697311,0.0160959238505872,0.00547149981567955
CD14.Mono,ITGA2B,0.00307799523781869,0.00302004719612086,0.00274333940707661
CD14.Mono,CD33,0.223667653948158,0.227875892924071,0.662482941742586
CD14.Mono,MPO,0.0911783494976479,0.112510959133007,0.0567106062590404
CD14.Mono,CTSG,0.0710455504578276,0.0921292314143475,0.104820177671561
CD14.Mono,AZU1,0.270089242503436,0.434421841464082,0.264395636713717
CD14.Mono,LYZ,0.982674177749385,4.4447411340225,1
CD14.Mono,S100A8,0.965851675474766,3.92174395014248,1
CD14.Mono,S100A9,0.977950713359274,4.23131154664383,1
CD14.Mono,CD14,0.533267514567242,0.798677766864233,1
CD14.Mono,ITGAM,0.407166502119751,0.481050685961621,1
CD14.Mono,FCGR3A,0.0832800975666415,0.099717023496803,0.0626338121878569
CD14.Mono,FCER1G,0.868265675513483,1.99038496968775,0.782857142889746
CD14.Mono,FCER1A,0.0246433203631647,0.0252010386370904,0.0537347458033208
CD14.Mono,CLEC10A,0.0442340825057591,0.0503380404030329,0.229465463772868
CD14.Mono,IL3RA,0.10734266411135,0.111526710640059,0.12097471874856
CD14.Mono,IRF8,0.255067077066032,0.280166681371724,0.172432920406191
CD14.Mono,CD4,0.24165166385969,0.250333782461037,0.823713285730836
CD14.Mono,IL7R,0.0317672338695627,0.0354241079237971,0.026053817244512
CD14.Mono,CD3E,0.016996728420156,0.0162724160426293,0.011666158646026
CD14.Mono,CCR7,0.042124010298701,0.0530134144848087,0.0663757836454975
CD14.Mono,CD8A,0.00621406585748301,0.00627123702150647,0.00748080109724175
CD14.Mono,CCL5,0.129024140000387,0.165828056642066,0.0600375324229024
CD14.Mono,GNLY,0.0669609152680179,0.0741646021233573,0.0220936491267896
CD14.Mono,KLRB1,0.01689993611708,0.0174280472932936,0.0127694895166623
CD14.Mono,NKG7,0.321389163133748,0.42986904134659,0.141843519241616
CD14.Mono,CXCL12,0.000909847648914958,0.00092182104264672,0.000315459193738399
CD14.Mono,VCAM1,0.000154867684921695,0.00013633159165259,0.000129413339567449
CD8.M,SDC1,0.000920556015833564,0.000937662697689464,0.00144499621853185
CD8.M,MME,0.000598361410291816,0.000670637463868183,0.00147560806112953
CD8.M,CD19,0.00239344564116727,0.00240632315198364,0.00677097447747432
CD8.M,CD79A,0.0133940900303783,0.0149424693505495,0.00848622192863689
CD8.M,MS4A1,0.0342907115898002,0.0428222691517056,0.0271088081118125
CD8.M,KIT,0.00138083402375035,0.00158682702798474,0.00830444837399315
CD8.M,CD34,0.00382030746570929,0.0047927952978,0.0105303074923448
CD8.M,CLC,0.00239344564116727,0.00304279819617055,0.0235679839264871
CD8.M,GYPA,0.0204823713522968,0.0230991658377111,0.0137290178051156
CD8.M,PPBP,0.00469483568075117,0.00596628874666303,0.00202812513781039
